,experiment,users,parameter,type,value
0,3_test_mirador_,40,users,ratemean,1.76
0,3_test_mirador_,40,cpu:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,3_test_mirador_,40,request,ratemean,25.94
0,3_test_mirador_,40,connected,ratemean,-0.2
0,3_test_mirador_,40,users_count,ratemean,0.0
0,3_test_mirador_,40,tr_change_manually_canvas_2,ratemean,0.21
0,3_test_mirador_,40,tr_zoom,ratemean,0.2
0,3_test_mirador_,40,200,ratemean,25.94
0,3_test_mirador_,40,finish_users_count,ratemean,0.2
0,3_test_mirador_,40,session,ratemean,0.21
0,3_test_mirador_,40,tr_init_load_page,ratemean,0.11
0,3_test_mirador_,40,connect,ratemean,0.93
0,3_test_mirador_,40,load:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,3_test_mirador_,40,tr_change_manually_canvas,ratemean,0.21
0,3_test_mirador_,40,size_rcv_rate,rate,8126464.0
0,3_test_mirador_,40,size_rcv,maxmean,100.36
0,3_test_mirador_,40,size_sent_rate,rate,193454.08
0,3_test_mirador_,40,size_sent,maxmean,2.03
0,3_test_mirador_,80,tr_init_load_page,mean,360.0
0,3_test_mirador_,80,tr_zoom,mean,63.0
0,3_test_mirador_,80,session,mean,40000.0
0,3_test_mirador_,80,tr_change_manually_canvas_2,mean,21.599999999999998
0,3_test_mirador_,80,cpu:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,1.82
0,3_test_mirador_,80,request,mean,62.6
0,3_test_mirador_,80,tr_change_manually_canvas,mean,28.799999999999997
0,3_test_mirador_,80,connect,mean,44.49
0,3_test_mirador_,80,tr_change_canvas,mean,97.8
0,3_test_mirador_,80,load:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,0.56
0,3_test_mirador_,80,freemem:os_mon@tsung_controller@dariobranco-XPS-15-9520,mean,18913.18
0,3_test_mirador_,80,page,mean,114.6
0,3_test_mirador_,80,request,ratemean,32.19
0,3_test_mirador_,80,finish_users_count,ratemean,0.24
0,3_test_mirador_,80,tr_change_manually_canvas,ratemean,0.26
0,3_test_mirador_,80,tr_zoom,ratemean,0.25
0,3_test_mirador_,80,users_count,ratemean,0.0
0,3_test_mirador_,80,tr_change_manually_canvas_2,ratemean,0.26
0,3_test_mirador_,80,cpu:os_mon@tsung_controller@dariobranco-XPS-15-9520,ratemean,0.1
0,3_test_mirador_,80,session,ratemean,0.26
0,3_test_mirador_,80,tr_init_load_page,ratemean,0.16
0,3_test_mirador_,80,page,ratemean,1.13
0,3_test_mirador_,80,tr_change_canvas,ratemean,0.24
